HelpSymptomDescription_ID,HelpSymptom_ID,SymptomDescription,Canonical,FirstQuestionId
276,287,E - Drain pump error - Water level does not decrease to reset point within 15 minutes from draining water from the washer.,1,
277,288,IE - Water level sensor error - Water sensor fails to send signal for longer than 5 seconds.,1,
278,289,OE - Water overflow - Water supply does not stop after sensing an overflow condition.,1,
279,290,UE - Unbalance switch - Unbalanced load is sensed three times during a spin operation.,1,
285,296,"F5 - A ""watchdog"" circuit on the clock assembly control board is sensing a problem",1,
290,301,F - Communication error between boards,1,
291,302,F1 - Power to heating element relay energized with oven off and only time of day showing in the display,1,
292,303,"F2 - The oven temperature sensor is sensing a temperature over 600 degrees Fahrenheit in time of day mode or bake mode, or over 900 degrees Fahrenheit in self-clean mode.",1,
293,304,F3 - The cooling fan is on even though the oven is turned off,1,
294,305,F4 - The oven temperature sensor is either short-circuited or doesn't have any continuity,1,
295,306,F5 - Power to heating element relays disabled in cook mode,1,
297,308,F8 - Shorted meat probe alarm,1,
298,309,F9 - Door lock safety circuit on power relay board sensed,1,
299,310,FC - Communication error between boards,1,
300,311,FF - Invalid temp reading on power relay board (PRB),1,
301,312,FR - Second oven error sensed,1,
322,333,L persists in washer display - The washing machine lid is not locking,1,
323,334,U occurs for no reason in display - Unbalanced load,1,
324,335,1E persists in washer display - Lid lock failure,1,
325,336,6E appears in dryer display - Temperature control error - too cool,1,
326,337,7E appears in dryer display - Temperature control error - overheating,1,
327,338,8E appears in dryer display - Motor relay circuit problem,1,
328,339,9E appears in dryer - Door switch failure,1,
339,350,E1 - Electronic oven control malfunction,1,
340,351,E10 - Electronic oven control malfunction,1,
341,352,E11 - Oven door lock latch system error,1,
342,353,E12 - Oven door lock latch system error,1,
343,354,E13 - Oven door lock latch system error,1,
344,355,E14 - Oven door lock latch system error,1,
345,356,E15 - Electronic oven control malfunction,1,
346,357,E2 - Cook or clean mode runaway temperature fault,1,
347,358,E3 - Possible open oven temperature sensor,1,
348,359,E4 - Possible shorted oven temperature sensor,1,
349,360,E5 - Control area temperature fault,1,
350,361,E6 - Electronic oven control malfunction,1,
351,362,E7 - Electronic oven control malfunction,1,
352,363,E8 - Electronic oven control malfunction,1,
353,364,E9 - Oven door lock latch system error,1,
354,365,F- - Communication error detected by display control,1,
355,366,F1 - Relay control board malfunction,1,
356,367,F2 - Oven door lock latch system error,1,
357,368,F3 - Oven door lock latch system error,1,
358,369,F4 - Oven door lock latch system error,1,
359,370,F5 - Oven relay control board and sensor communication error,1,
361,372,F8 - Oven relay control board error,1,
362,373,F9 - Oven door lock latch system error,1,
363,374,FC - Communication error detected by display control,1,
364,375,FF - Oven relay control board and sensor communication error,1,
365,376,"E1, E2 - Thermistor Failure",1,
366,377,E3 - Touchpad or Software mismatch,1,
368,379,CA Cl - Average current limit Or  Instantaneous current limit,1,
369,380,CE - Communications Error,1,
370,381,Er - Processor Reset Error,1,
371,382,FL - Flood Condition,1,
372,383,Ld - Long Drain,1,
373,384,LF - Long Fill,1,
374,385,LS - Lid Switch Error,1,
375,386,ob - Off Balance,1,
377,388,Sr - Stuck Relay,1,
378,389,F/02 - Drain Cycle Too Long,1,
379,390,F/05 - Water Temperature Sensor Error ,1,
380,391,F/06 - Drive Motor Tachometer Error ,1,
381,392,F/07 - Motor Control Unit Error ,1,
382,393,F/09 - Overflow Condition,1,
383,394,F/10 - Motor Control Unit (MCU) Heat Sink Thermal Trip ,1,
384,395,F/11 - Serial Communication Error Communication between the Central Control Unit (CCU) and the Motor Control Unit (MCU) cannot be sent correctly.,1,
385,396,"F/14 - EEPROM Error The Central Control Unit (CCU) receives it's data from an EEPROM on board the CCU. If there is an error reading this data, it will cause this error.",1,
386,397,"F/15 - Motor Control Unit (MCU) Error If the MCU detects multiple resets or errors during a wash cycle, it will go into this error mode.",1,
387,398,F/dL - Door Lock Error A Door Lock Error occurs if the door cannot be unlocked. It will try to lock it 6 times before displaying the error.,1,
388,399,F/dU - Door Unlock Error A Door Unlock Error occurs if the door cannot be unlocked. It will try to unlock the door 6 times before displaying the error.,1,
389,400,F/H - FH No Water Entering Machine or Pressure Switch Failure ,1,
390,401,Sud - SUDS LOCK (Overdose of Detergent detected during the Wash Cycle) ,1,
391,402,CE - CURRENT ERROR // Motor Stator or Main Power Control Board error,1,
392,403,dE - DOOR OPEN ERROR // Main control detecting a problem with door/lid lock system,1,
393,404,FE - WATER OVER FLOW ERROR // Water continuing to enter machine,1,
394,405,IE or 1E - WATER INLET ERROR // Water not entering washing machine correctly,1,
395,406,LE - MOTOR ERROR // Motor Stator overheat or connection error,1,
396,407,OE - DRAIN ERROR // Water not draining correctly,1,
397,408,PE - PRESSURE SENSOR ERROR // Water level pressure switch error,1,
398,409,PF - POWER FAILURE // Not an error,1,
399,410,tE - HEATING (THERMISTOR) ERROR // Temperature sensing thermistor error,1,
400,411,UE - UNBALANCE ERROR // Wash load unbalanced,1,
401,412,E1 - LEAKAGE ERROR // Excessive pump motor RPM due to water leakage,1,
403,414,HE - HEATING (ELEMENT) ERROR // Water heating error,1,
404,415,IE or 1E - WATER INLET ERROR // Water not entering dishwasher correctly,1,
405,416,LE - MOTOR ERROR // Circulation pump motor error,1,
409,420,F1 - Touchpad fault indicating a stuck button or bad connection between touchpad and oven control,1,
411,422,F3 or F4 - Oven temperature sensor circuit error,1,
412,423,F7 or F9 - Oven temperature error while cooking or cleaning,1,
413,424,PF - Power failure (not a failure mode),1,
414,425,F0/F1 - Either of these faults indicate a malfunction in the oven control itself,1,
415,426,F2/F3/F4 - Oven temperature sensor circuit fault,1,
416,427,F5 - Relay fault at oven control,1,
417,428,F6 - Voltage problem to oven control.,1,
418,429,F7/F8/F9 - Any of these faults indicate the oven control has detected a problem with the  door lock latch assembly.,1,
424,435,F0 - Default F code - no failure,1,
425,436,F1 E ANY NUMBER - Electronic oven control malfunction,1,
426,437,F2 E ANY NUMBER - Touchpad fault indicating a stuck button or bad connection between touchpad and oven control,1,
427,438,F3 E ANY NUMBER - Oven temperature sensor circuit error,1,
428,439,F4 E ANY NUMBER - Meat probe circuit error,1,
429,440,F5 E ANY NUMBER - Oven door lock latch system error,1,
430,441,F6 E ANY NUMBER - Control area temperature fault,1,
431,442,F7 E ANY NUMBER - Oven door lock latch system error,1,
432,443,F8 E ANY NUMBER - N/A,1,
433,444,F9 E ANY NUMBER - N/A,1,
435,446,"FFF, F1 or F5 - Electronic oven control malfunction",1,
436,447,F0 or F7 - Touchpad fault indicating a stuck button or bad connection between touchpad and oven control,1,
437,448,"F2, F3, F3 or F4 - Oven temperature sensor circuit error",1,
438,449,F8 - Voltage problem to oven control.,1,
439,450,"F9, FC, FF - Any of these faults indicate the oven control has detected a problem with the  door lock latch assembly.",1,
440,451,Central air conditioner not cooling,1,
441,452,Central air conditioner is noisy or loud,1,
442,453,Condenser fan motor does not run,1,
443,454,Condensing unit does not run,1,
444,455,Edger won't start,1,
446,457,Leaf blower won't start,1,
448,459,Leaf blower starts then dies,1,
449,460,Leaf blower running rough,1,
452,464,Hedge trimmer won't start,1,
453,465,Hedge trimmer runs rough,1,
454,466,Hedge trimmer starts then stalls,1,
455,467,Edger starts then stalls,1,
456,468,Edger runs rough,1,
457,469,Generator battery keeps dying,1,
458,470,Generator leaking gas,1,
459,471,Generator won?t start,1,
460,472,Generator won't stay running,1,
461,473,Generator runs rough,1,
462,474,Lawn mower runs rough,1,
463,475,Pole pruner won't start,1,
464,476,Pole pruner runs poorly,1,
465,477,Pole pruner engine stops after a few seconds,1,
466,478,Trash compactor will not start,1,
467,479,Trash compactor is making loud noise,1,
468,480,Trash compactor will not stop,1,
469,481,Trash compactor drawer will not open,1,
476,488,Bathroom fan not working,1,
477,489,Bath fan light is not working,1,
478,490,Bath fan light and fan not working ,1,
479,491,Bath fan motor is loud or noisy ,1,
480,492,Bath fan heater not working,1,
481,493,Bath fan doesn't vent to the outside ,1,
482,494,Dehumidifier not working,1,
483,495,Dehumidifier fan not working,1,
484,496,Dehumidifier freezing up,1,
485,497,Dehumidifier is loud or noisy,1,
486,498,Dehumidifier is leaking water,1,
487,499,Circular saw will not run,1,
540,552,Dishwasher runs for several hours,1,
